Repository,Result,Constraint,Line,Description
amaembo__streamex,UNSAT,InterfacePolicy,,Interface Class15 contains non-abstract method Method434
amaembo__streamex,UNSAT,InterfacePolicy,,Interface Class15 contains non-abstract method Method435
amaembo__streamex,UNSAT,InterfacePolicy,,Interface Class15 contains non-abstract method Method436
amaembo__streamex,UNSAT,InterfacePolicy,,Interface Class15 contains non-abstract method Method437
amaembo__streamex,UNSAT,InterfacePolicy,,Interface Class15 contains non-abstract method Method438
amaembo__streamex,UNSAT,InterfacePolicy,,Interface Class15 contains non-abstract method Method439
amaembo__streamex,UNSAT,InterfacePolicy,,Interface Class15 contains non-abstract method Method440
amaembo__streamex,UNSAT,InterfacePolicy,,Interface Class15 contains non-abstract method Method441
amaembo__streamex,UNSAT,InterfacePolicy,,Interface Class15 contains non-abstract method Method442
amaembo__streamex,UNSAT,InterfacePolicy,,Interface Class15 contains non-abstract method Method443
amaembo__streamex,UNSAT,InterfacePolicy,,Interface Class15 contains non-abstract method Method444
amaembo__streamex,UNSAT,InterfacePolicy,,Interface Class15 contains non-abstract method Method445
amaembo__streamex,UNSAT,InterfacePolicy,,Interface Class15 contains non-abstract method Method446
amaembo__streamex,UNSAT,InterfacePolicy,,Interface Class15 contains non-abstract method Method447
amaembo__streamex,UNSAT,InterfacePolicy,,Interface Class17 contains non-abstract method Method603
amaembo__streamex,UNSAT,InterfacePolicy,,Interface Class17 contains non-abstract method Method604
amaembo__streamex,UNSAT,InterfacePolicy,,Interface Class17 contains non-abstract method Method605
amaembo__streamex,UNSAT,InterfacePolicy,,Interface Class17 contains non-abstract method Method606
amaembo__streamex,UNSAT,InterfacePolicy,,Interface Class17 contains non-abstract method Method607
amaembo__streamex,UNSAT,InterfacePolicy,,Interface Class17 contains non-abstract method Method608
amaembo__streamex,UNSAT,InterfacePolicy,,Interface Class17 contains non-abstract method Method609
amaembo__streamex,UNSAT,InterfacePolicy,,Interface Class17 contains non-abstract method Method610
amaembo__streamex,UNSAT,InterfacePolicy,,Interface Class17 contains non-abstract method Method611
amaembo__streamex,UNSAT,InterfacePolicy,,Interface Class17 contains non-abstract method Method612
amaembo__streamex,UNSAT,InterfacePolicy,,Interface Class17 contains non-abstract method Method613
amaembo__streamex,UNSAT,InterfacePolicy,,Interface Class17 contains non-abstract method Method614
amaembo__streamex,UNSAT,InterfacePolicy,,Interface Class17 contains non-abstract method Method615
amaembo__streamex,UNSAT,InterfacePolicy,,Interface Class20 contains non-abstract method Method649
amaembo__streamex,UNSAT,InterfacePolicy,,Interface Class20 contains non-abstract method Method650
amaembo__streamex,UNSAT,InterfacePolicy,,Interface Class20 contains non-abstract method Method651
amaembo__streamex,UNSAT,InterfacePolicy,,Interface Class20 contains non-abstract method Method652
amaembo__streamex,UNSAT,InterfacePolicy,,Interface Class20 contains non-abstract method Method653
amaembo__streamex,UNSAT,InterfacePolicy,,Interface Class20 contains non-abstract method Method654
amaembo__streamex,UNSAT,InterfacePolicy,,Interface Class20 contains non-abstract method Method655
amaembo__streamex,UNSAT,InterfacePolicy,,Interface Class20 contains non-abstract method Method656
amaembo__streamex,UNSAT,InterfacePolicy,,Interface Class20 contains non-abstract method Method657
amaembo__streamex,UNSAT,InterfacePolicy,,Interface Class20 contains non-abstract method Method658
amaembo__streamex,UNSAT,InterfacePolicy,,Interface Class20 contains non-abstract method Method660
amaembo__streamex,UNSAT,InterfacePolicy,,Interface Class20 contains non-abstract method Method661
amaembo__streamex,UNSAT,InterfacePolicy,,Interface Class20 contains non-abstract method Method662
amaembo__streamex,UNSAT,InterfacePolicy,,Interface Class20 contains non-abstract method Method663
amaembo__streamex,UNSAT,InterfacePolicy,,Interface Class20 contains non-abstract method Method664
amaembo__streamex,UNSAT,InterfacePolicy,,Interface Class20 contains non-abstract method Method665
amaembo__streamex,UNSAT,InterfacePolicy,,Interface Class20 contains non-abstract method Method666
amaembo__streamex,UNSAT,InterfacePolicy,,Interface Class20 contains non-abstract method Method667
amaembo__streamex,UNSAT,InterfacePolicy,,Interface Class20 contains non-abstract method Method668
amaembo__streamex,UNSAT,InterfacePolicy,,Interface Class20 contains non-abstract method Method669
amaembo__streamex,UNSAT,InterfacePolicy,,Interface Class20 contains non-abstract method Method670
amaembo__streamex,UNSAT,InterfacePolicy,,Interface Class20 contains non-abstract method Method671
amaembo__streamex,UNSAT,InterfacePolicy,,Interface Class20 contains non-abstract method Method672
amaembo__streamex,UNSAT,InterfacePolicy,,Interface Class20 contains non-abstract method Method673
amaembo__streamex,UNSAT,InterfacePolicy,,Interface Class20 contains non-abstract method Method674
amaembo__streamex,UNSAT,InterfacePolicy,,Interface Class22 contains non-abstract method Method796
amaembo__streamex,UNSAT,InterfacePolicy,,Interface Class17 has field Field46
amaembo__streamex,UNSAT,InterfacePolicy,,Interface Class17 has field Field47
amaembo__streamex,UNSAT,InterfacePolicy,,Interface Class17 has field Field48
amaembo__streamex,UNSAT,InterfacePolicy,,Interface Class17 has field Field49
amaembo__streamex,UNSAT,InterfacePolicy,,Interface Class17 has field Field50
amaembo__streamex,UNSAT,InterfacePolicy,,Interface Class17 has field Field51
amaembo__streamex,UNSAT,InterfacePolicy,,Interface Class17 has field Field52
amaembo__streamex,UNSAT,InterfacePolicy,,Interface Class17 has field Field53
amaembo__streamex,UNSAT,InterfacePolicy,,Interface Class17 has field Field54
amaembo__streamex,UNSAT,InterfacePolicy,,Interface Class17 has field Field55
amaembo__streamex,UNSAT,InterfacePolicy,,Interface Class38 has field Field149
amaembo__streamex,UNSAT,LocalMethodNamespace,,"Duplicate method name 'reduceWithZero' in class Class0: Method72, Method73"
amitshekhariitbhu__Android-Debug-Database,SAT,,,All metamodel constraints hold
amitshekhariitbhu__Fast-Android-Networking,UNSAT,InterfacePolicy,,Interface Class8 has field Field97
amitshekhariitbhu__Fast-Android-Networking,UNSAT,InterfacePolicy,,Interface Class8 has field Field98
amitshekhariitbhu__Fast-Android-Networking,UNSAT,InterfacePolicy,,Interface Class8 has field Field99
amitshekhariitbhu__Fast-Android-Networking,UNSAT,InterfacePolicy,,Interface Class8 has field Field100
amitshekhariitbhu__Fast-Android-Networking,UNSAT,InterfacePolicy,,Interface Class8 has field Field101
amitshekhariitbhu__Fast-Android-Networking,UNSAT,InterfacePolicy,,Interface Class8 has field Field102
amitshekhariitbhu__Fast-Android-Networking,UNSAT,InterfacePolicy,,Interface Class8 has field Field103
amitshekhariitbhu__Fast-Android-Networking,UNSAT,InterfacePolicy,,Interface Class11 has field Field108
amitshekhariitbhu__Fast-Android-Networking,UNSAT,InterfacePolicy,,Interface Class11 has field Field109
amitshekhariitbhu__Fast-Android-Networking,UNSAT,InterfacePolicy,,Interface Class11 has field Field110
amitshekhariitbhu__Fast-Android-Networking,UNSAT,LocalMethodNamespace,,"Duplicate method name 'initialize' in class Class0: Method14, Method15"
apache__curator,UNSAT,InterfacePolicy,,Interface Class28 contains non-abstract method Method135
apache__curator,UNSAT,InterfacePolicy,,Interface Class41 contains non-abstract method Method221
apache__curator,UNSAT,InterfacePolicy,,Interface Class204 contains non-abstract method Method900
apache__curator,UNSAT,InterfacePolicy,,Interface Class224 contains non-abstract method Method1014
apache__curator,UNSAT,InterfacePolicy,,Interface Class224 contains non-abstract method Method1015
apache__curator,UNSAT,InterfacePolicy,,Interface Class224 contains non-abstract method Method1016
apache__curator,UNSAT,InterfacePolicy,,Interface Class225 contains non-abstract method Method1024
apache__curator,UNSAT,InterfacePolicy,,Interface Class232 contains non-abstract method Method1061
apache__curator,UNSAT,InterfacePolicy,,Interface Class232 contains non-abstract method Method1063
apache__curator,UNSAT,InterfacePolicy,,Interface Class235 contains non-abstract method Method1087
apache__curator,UNSAT,InterfacePolicy,,Interface Class235 contains non-abstract method Method1092
apache__curator,UNSAT,InterfacePolicy,,Interface Class327 contains non-abstract method Method1621
apache__curator,UNSAT,InterfacePolicy,,Interface Class328 contains non-abstract method Method1623
apache__curator,UNSAT,InterfacePolicy,,Interface Class328 contains non-abstract method Method1624
apache__curator,UNSAT,InterfacePolicy,,Interface Class378 contains non-abstract method Method1875
apache__curator,UNSAT,InterfacePolicy,,Interface Class379 contains non-abstract method Method1882
apache__curator,UNSAT,InterfacePolicy,,Interface Class381 contains non-abstract method Method1892
apache__curator,UNSAT,InterfacePolicy,,Interface Class437 contains non-abstract method Method2125
apache__curator,UNSAT,InterfacePolicy,,Interface Class440 contains non-abstract method Method2136
apache__curator,UNSAT,InterfacePolicy,,Interface Class440 contains non-abstract method Method2137
apache__curator,UNSAT,InterfacePolicy,,Interface Class442 contains non-abstract method Method2157
apache__curator,UNSAT,InterfacePolicy,,Interface Class442 contains non-abstract method Method2158
apache__curator,UNSAT,InterfacePolicy,,Interface Class442 contains non-abstract method Method2189
apache__curator,UNSAT,InterfacePolicy,,Interface Class445 contains non-abstract method Method2199
apache__curator,UNSAT,InterfacePolicy,,Interface Class446 contains non-abstract method Method2201
apache__curator,UNSAT,InterfacePolicy,,Interface Class447 contains non-abstract method Method2204
apache__curator,UNSAT,InterfacePolicy,,Interface Class447 contains non-abstract method Method2205
apache__curator,UNSAT,InterfacePolicy,,Interface Class448 contains non-abstract method Method2209
apache__curator,UNSAT,InterfacePolicy,,Interface Class448 contains non-abstract method Method2210
apache__curator,UNSAT,InterfacePolicy,,Interface Class448 contains non-abstract method Method2211
apache__curator,UNSAT,InterfacePolicy,,Interface Class448 contains non-abstract method Method2212
apache__curator,UNSAT,InterfacePolicy,,Interface Class448 contains non-abstract method Method2214
apache__curator,UNSAT,InterfacePolicy,,Interface Class448 contains non-abstract method Method2218
apache__curator,UNSAT,InterfacePolicy,,Interface Class448 contains non-abstract method Method2219
apache__curator,UNSAT,InterfacePolicy,,Interface Class448 contains non-abstract method Method2221
apache__curator,UNSAT,InterfacePolicy,,Interface Class448 contains non-abstract method Method2222
apache__curator,UNSAT,InterfacePolicy,,Interface Class448 contains non-abstract method Method2223
apache__curator,UNSAT,InterfacePolicy,,Interface Class448 contains non-abstract method Method2224
apache__curator,UNSAT,InterfacePolicy,,Interface Class451 contains non-abstract method Method2242
apache__curator,UNSAT,InterfacePolicy,,Interface Class451 contains non-abstract method Method2243
apache__curator,UNSAT,InterfacePolicy,,Interface Class451 contains non-abstract method Method2244
apache__curator,UNSAT,InterfacePolicy,,Interface Class460 contains non-abstract method Method2392
apache__curator,UNSAT,InterfacePolicy,,Interface Class460 contains non-abstract method Method2393
apache__curator,UNSAT,InterfacePolicy,,Interface Class461 contains non-abstract method Method2395
apache__curator,UNSAT,InterfacePolicy,,Interface Class461 contains non-abstract method Method2396
apache__curator,UNSAT,InterfacePolicy,,Interface Class462 contains non-abstract method Method2398
apache__curator,UNSAT,InterfacePolicy,,Interface Class462 contains non-abstract method Method2399
apache__curator,UNSAT,InterfacePolicy,,Interface Class463 contains non-abstract method Method2401
apache__curator,UNSAT,InterfacePolicy,,Interface Class463 contains non-abstract method Method2402
apache__curator,UNSAT,InterfacePolicy,,Interface Class464 contains non-abstract method Method2404
apache__curator,UNSAT,InterfacePolicy,,Interface Class464 contains non-abstract method Method2405
apache__curator,UNSAT,InterfacePolicy,,Interface Class465 contains non-abstract method Method2407
apache__curator,UNSAT,InterfacePolicy,,Interface Class465 contains non-abstract method Method2408
apache__curator,UNSAT,InterfacePolicy,,Interface Class466 contains non-abstract method Method2410
apache__curator,UNSAT,InterfacePolicy,,Interface Class466 contains non-abstract method Method2411
apache__curator,UNSAT,InterfacePolicy,,Interface Class467 contains non-abstract method Method2413
apache__curator,UNSAT,InterfacePolicy,,Interface Class467 contains non-abstract method Method2414
apache__curator,UNSAT,InterfacePolicy,,Interface Class468 contains non-abstract method Method2416
apache__curator,UNSAT,InterfacePolicy,,Interface Class468 contains non-abstract method Method2417
apache__curator,UNSAT,InterfacePolicy,,Interface Class469 contains non-abstract method Method2419
apache__curator,UNSAT,InterfacePolicy,,Interface Class469 contains non-abstract method Method2420
apache__curator,UNSAT,InterfacePolicy,,Interface Class470 contains non-abstract method Method2422
apache__curator,UNSAT,InterfacePolicy,,Interface Class470 contains non-abstract method Method2423
apache__curator,UNSAT,InterfacePolicy,,Interface Class471 contains non-abstract method Method2425
apache__curator,UNSAT,InterfacePolicy,,Interface Class471 contains non-abstract method Method2426
apache__curator,UNSAT,InterfacePolicy,,Interface Class472 contains non-abstract method Method2428
apache__curator,UNSAT,InterfacePolicy,,Interface Class472 contains non-abstract method Method2429
apache__curator,UNSAT,InterfacePolicy,,Interface Class473 contains non-abstract method Method2431
apache__curator,UNSAT,InterfacePolicy,,Interface Class473 contains non-abstract method Method2432
apache__curator,UNSAT,InterfacePolicy,,Interface Class474 contains non-abstract method Method2434
apache__curator,UNSAT,InterfacePolicy,,Interface Class474 contains non-abstract method Method2435
apache__curator,UNSAT,InterfacePolicy,,Interface Class475 contains non-abstract method Method2437
apache__curator,UNSAT,InterfacePolicy,,Interface Class475 contains non-abstract method Method2438
apache__curator,UNSAT,InterfacePolicy,,Interface Class476 contains non-abstract method Method2440
apache__curator,UNSAT,InterfacePolicy,,Interface Class476 contains non-abstract method Method2441
apache__curator,UNSAT,InterfacePolicy,,Interface Class477 contains non-abstract method Method2443
apache__curator,UNSAT,InterfacePolicy,,Interface Class477 contains non-abstract method Method2444
apache__curator,UNSAT,InterfacePolicy,,Interface Class478 contains non-abstract method Method2446
apache__curator,UNSAT,InterfacePolicy,,Interface Class478 contains non-abstract method Method2447
apache__curator,UNSAT,InterfacePolicy,,Interface Class479 contains non-abstract method Method2449
apache__curator,UNSAT,InterfacePolicy,,Interface Class479 contains non-abstract method Method2450
apache__curator,UNSAT,InterfacePolicy,,Interface Class480 contains non-abstract method Method2452
apache__curator,UNSAT,InterfacePolicy,,Interface Class480 contains non-abstract method Method2453
apache__curator,UNSAT,InterfacePolicy,,Interface Class481 contains non-abstract method Method2455
apache__curator,UNSAT,InterfacePolicy,,Interface Class481 contains non-abstract method Method2456
apache__curator,UNSAT,InterfacePolicy,,Interface Class482 contains non-abstract method Method2458
apache__curator,UNSAT,InterfacePolicy,,Interface Class482 contains non-abstract method Method2459
apache__curator,UNSAT,InterfacePolicy,,Interface Class483 contains non-abstract method Method2461
apache__curator,UNSAT,InterfacePolicy,,Interface Class483 contains non-abstract method Method2462
apache__curator,UNSAT,InterfacePolicy,,Interface Class484 contains non-abstract method Method2464
apache__curator,UNSAT,InterfacePolicy,,Interface Class484 contains non-abstract method Method2465
apache__curator,UNSAT,InterfacePolicy,,Interface Class485 contains non-abstract method Method2467
