repo,lang,typeCount,stratum
hhopke__intervals-icu-mcp,Python,96,medium
render-engine__render-engine,Python,73,medium
pyiron__pysqa,Python,54,medium
tkersey__dotfiles,Python,57,medium
sanders41__meilisearch-python-sdk,Python,120,medium
miguelsousa__openbakery,Python,60,medium
selfcustody__krux-installer,Python,67,medium
mathieu-lemay__pipeline-runner,Python,84,medium
Libensemble__libensemble,Python,122,medium
gleanwork__glean-agent-toolkit,Python,53,medium
the-momentum__python-ai-kit,Python,69,medium
pierrecomputer__sdk,Python,92,medium
vertti__daffy,Python,98,medium
brandonzorn__Nlight,Python,115,medium
ariebovenberg__pdfje,Python,126,large
civictechdc__cib-mango-tree,Python,143,large
derrynknife__SurPyval,Python,139,large
tibuntu__homeassistant-kubernetes,Python,204,large
DMedina559__bedrock-server-manager,Python,141,large
microsoft__olive-recipes,Python,221,large
serenita-org__vero,Python,182,large
autowarefoundation__auto_e2e,Python,182,large
Llucs__backon,Python,181,large
liquidz00__Patcher,Python,233,large
torch-spyre__sendnn-inference,Python,137,large
myny-git__smappee_ev,Python,159,large
openstack__placement,Python,194,large
globus__globus-cli,Python,138,large
proDreams__async_yookassa,Python,202,large
ai-dynamo__modelexpress,Python,209,large
xiaomi-mlab__DriveVA,Python,189,large
ORNL__Equilipy,Python,124,large
google__garf,Python,255,large
jens62__geberit-aquaclean,Python,172,large
pyiron__pyiron_base,Python,269,large
hmldns__nautex,Python,268,large
mindee__mindee-api-python,Python,227,large
WaterplanAI__agentic-config,Python,129,large
MontrealCorpusTools__PolyglotDB,Python,204,large
23andMe__LDZip,C++,208,small
walbourn__contentexporter,C++,208,small
wichtounet__swr-calculator,C++,210,small
ekkuleivonen__ducklake-cdc-extension,C++,234,small
leggedrobotics__robot_self_filter,C++,193,small
Chowdhury-DSP__wdf_compiler,C++,216,small
rt-net__raspimouse_ros2_examples,C++,195,small
bemanproject__optional,C++,215,small
enactic__openarm_can,C++,202,small
openlab-x__OpenCircuitX,C++,197,small
collyn__skey,C++,202,small
aliasgroup__Wifi-Cracker,C++,207,small
Palm1r__llmqore,C++,237,small
IvanMurzak__Unreal-MCP,C++,198,small
joaospinto__sip,C++,197,small
vituha230__Neuro-Skyrim-Integration,C++,234,small
fourthlogic__FLImagingExamplesCpp,C++,222,small
yhirose__cpp-llamalib,C++,237,small
Jazeredz__DLL-Hijacking-Vulnerability-Scanner,C++,227,small
NIRALUser__SPHARM-PDM,C++,216,small
ne-app-eu__krnl,C++,219,small
dtcxzyw__llvm-mutation-based-fuzz-service,C++,202,small
Helldez__BigMoeOnEdge,C++,215,small
2captcha__2captcha-cpp,C++,230,small
chengruiz__stepit,C++,194,small
apt-sim__AdePT,C++,251,medium
dskkato__ros2_cuda_ipc,C++,260,medium
NiobiumInc__niobium-haze,C++,267,medium
Bajie001__ecovacs_bajie_sdk,C++,249,medium
scitix__InstantTensor,C++,293,medium
llnl__dftracer,C++,246,medium
qulacs__scaluq,C++,280,medium
NetKit-Labs__memkit,C++,278,medium
dddqmmx__arirang,C++,289,medium
MartensCedric__antipodal,C++,252,medium
flagos-ai__flir,C++,274,medium
Vatrials__League-of-Legends-Visuals-Cheat,C++,272,medium
Ekozmaster__Vibe-Reverse-Engineering,C++,253,medium
shiguredo__sora-cpp-sdk,C++,271,medium
PeterRK__protocache,C++,269,medium
KDE__kuserfeedback,C++,286,medium
dmalhotra__SCTL,C++,254,medium
Bokjan__BravoFinder,C++,272,medium
Laeteth__advanced-anti-sandbox-Virtual-Machine,C++,246,medium
devzendo__transputer-emulator,C++,268,medium
vllm-project__vllm-xpu-kernels,C++,280,medium
gorkemgun__ksu-frida,C++,275,medium
EnderMo__PoggetCore,C++,260,medium
kernelwernel__llarm,C++,285,medium
aifoundry-org__hf-hackathon,C++,255,medium
ospray__anari-ospray,C++,298,large
openbmc__openpower-vpd-parser,C++,346,large
condy-cpp__condy,C++,335,large
GlomarGadaffi__pocket-dial,C++,321,large
tatami-inc__tatami,C++,340,large
bitcoinfuzz__bitcoinfuzz,C++,333,large
lynx-family__lynxtron,C++,361,large
BenBerke__Tilky-Engine,C++,318,large
suprepupre__wow-optimize,C++,371,large
lynx-family__debug-router,C++,353,large
trailcode__EzyCad,C++,380,large
zushinzackery2-ship-it__Unity202x-eXternalrEsolve,C++,296,large
berthubert__tkconv,C++,373,large
qr-rp__GO_Midi,C++,335,large
MetaversalCorp__Sneeze,C++,327,large
Open-CMSIS-Pack__devtools,C++,312,large
masterai-top__cfr-poker-ai-masterai,C++,318,large
yamacir-kit__meevax,C++,333,large
schrodinger__sketcher,C++,310,large
DigitalPulseSoftware__ThisSpaceOfMine,C++,375,large
opendcdiag__opendcdiag,C++,366,large
GuntherRademacher__rex-parser-generator,C++,340,large
dbrizov__hob2d,C++,350,large
CoolProp__CoolSolve,C++,341,large
